date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
20:11:53	7220/7220	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/ipad-pro.jpg	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/ipad-pro.jpg	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:11:53	46976/46976	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/xperia-z2.png	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/xperia-z2.png	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:11:56	5675/5675	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/payment_method.png	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/payment_method.png	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:11:56	8813/8813	---M--	200	added ('OK')	image/jpeg	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/galaxy-note5.jpg	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/galaxy-note5.jpg	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:11:58	6968/6968	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/jquery/jquery-migrate-1.1.0.min.js	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/jquery/jquery-migrate-1.1.0.min.js	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:12:02	82786/82786	---M--	200	added ('OK')	image/png	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/ipad-air.png	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/img/ipad-air.png	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:12:02	2319/2319	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/jquery-cookie/jquery.cookie.js	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/jquery-cookie/jquery.cookie.js	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:12:06	2866/2866	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/js/apps.min.js	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/js/apps.min.js	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:12:08	37045/37045	---M--	200	added ('OK')	application/javascript	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/bootstrap/js/bootstrap.min.js	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/e-commerce/assets/plugins/bootstrap/js/bootstrap.min.js	(from http://seantheme.com/color-admin-v2.2/frontend/e-commerce/)
20:12:12	31000/31000	---M--	200	added ('OK')	text/css	date:Sat,%2021%20Jan%202017%2000:58:06%20GMT	http://seantheme.com/color-admin-v2.2/frontend/forum/assets/plugins/font-awesome/css/font-awesome.min.css	/var/www/html/materaillaravel/frontend/seantheme.com/color-admin-v2.2/frontend/forum/assets/plugins/font-awesome/css/font-awesome.min.css	(from http://seantheme.com/color-admin-v2.2/frontend/forum/)
